;Day;NDWI
540;20/09/2019;0,17
541;21/09/2019;0,136479785
542;22/09/2019;0,079943061
543;23/09/2019;0,116047625
544;24/09/2019;0,121007172
545;25/09/2019;0,22
546;26/09/2019;0,18912659
547;27/09/2019;0,185946169
548;28/09/2019;0,219014862
549;29/09/2019;0,179112509
550;30/09/2019;0,22
551;01/10/2019;0,210154955
552;02/10/2019;0,21456817
553;03/10/2019;0,21386755
554;04/10/2019;0,227198006
555;05/10/2019;0,24
556;06/10/2019;0,189121565
557;07/10/2019;0,269220144
558;08/10/2019;0,3
559;09/10/2019;0,278128357
560;10/10/2019;0,27
561;11/10/2019;0,251325527
562;12/10/2019;0,187459485
563;13/10/2019;0,24
564;14/10/2019;0,259464191
565;15/10/2019;0,220839699
566;16/10/2019;0,229257503
567;17/10/2019;0,222949624
568;18/10/2019;0,26
569;19/10/2019;0,231210444
570;20/10/2019;0,22
571;21/10/2019;0,246540662
572;22/10/2019;0,234687056
573;23/10/2019;0,22
574;24/10/2019;0,22383329
575;25/10/2019;0,251397366
576;26/10/2019;0,238124459
577;27/10/2019;0,280554845
578;28/10/2019;0,289790742
579;29/10/2019;0,248668463
580;30/10/2019;0,291433112
581;31/10/2019;0,299259073
582;01/11/2019;0,34104163
583;02/11/2019;0,28
584;03/11/2019;0,255008843
585;04/11/2019;0,28
586;05/11/2019;0,207555442
587;06/11/2019;0,260255133
588;07/11/2019;0,269647011
589;08/11/2019;0,283970317
590;09/11/2019;0,270392744
591;10/11/2019;0,274408784
592;11/11/2019;0,307958743
593;12/11/2019;0,352938648
594;13/11/2019;0,286324833
595;14/11/2019;0,22
596;15/11/2019;0,257417501
597;16/11/2019;0,228457226
598;17/11/2019;0,145560877
599;18/11/2019;0,234577058
600;19/11/2019;0,282947768
601;20/11/2019;0,32837872
602;21/11/2019;0,26136142
603;22/11/2019;0,2
604;23/11/2019;0,26527477
605;24/11/2019;0,287970033
606;25/11/2019;0,370178994
607;26/11/2019;0,40942953
608;27/11/2019;0,32
609;28/11/2019;0,213949078
610;29/11/2019;0,3
611;30/11/2019;0,439522554
612;01/12/2019;0,394113016
613;02/12/2019;0,23
